"","marker","chr","pos","trait","lod","threshold","iteration","var_exp","eff_size","ci_l_marker","ci_l_pos","ci_r_marker","ci_r_pos","probe_chr","probe_start","probe_stop"
"1","V_20486369","V",20486369,"A_12_P100006",6.75085568004308,3.77,1,0.179381358982706,-0.42351891451953,"V_20135235",20135235,"V_20921615",20921615,"V",20459140,20459199
"2","V_2235863","V",2235863,"A_12_P100032",35.8425330102074,3.77,1,0.704130209331257,-0.835964112406162,"V_2231050",2231050,"V_2271884",2271884,"V",2247759,2247869
"3","X_3843271","X",3843271,"A_12_P100040",4.08160320958099,3.77,1,0.109573247175907,0.329969310105504,"X_3789476",3789476,"X_4025890",4025890,"X",6695538,6695597
"4","II_8864770","II",8864770,"A_12_P100042",32.9337253092595,3.77,1,0.613561442466318,-0.780834531427546,"II_8707524",8707524,"II_9145624",9145624,"II",9100256,9100315
"5","IV_12963367","IV",12963367,"A_12_P100044",8.68923207803792,3.77,1,0.217842328010831,-0.465265784768418,"IV_12868784",12868784,"IV_13098759",13098759,"IV",2330344,2330403
"6","V_1080319","V",1080319,"A_12_P100047",11.8813434868816,3.77,1,0.28702581273857,-0.534049804485129,"V_708390",708390,"V_1422457",1422457,"V",1087045,1087104
"7","V_15426259","V",15426259,"A_12_P100058",11.1011356033857,3.77,1,0.312316242374793,0.55677894062866,"V_15339524",15339524,"V_15660569",15660569,"V",15427288,15427347
"8","X_1594701","X",1594701,"A_12_P100060",3.84219653718679,3.77,1,0.103499774109434,0.32069411009244,"X_1461018",1461018,"X_2155975",2155975,"X",8003866,8003925
"9","X_3618239","X",3618239,"A_12_P100063",4.08905481868308,3.77,1,0.108467736740207,-0.328307096659033,"X_3088382",3088382,"X_3991931",3991931,"X",11533045,11533104
"10","II_1418895","II",1418895,"A_12_P100068",13.7430107669994,3.77,1,0.270060893459275,-0.51803706167995,"II_1417887",1417887,"II_1718365",1718365,"II",4057574,4057633
"11","X_5176675","X",5176675,"A_12_P100076",4.33088989067711,3.77,1,0.121561876662929,-0.347477355566406,"X_4483054",4483054,"X_5569019",5569019,"IV",6639165,6639224
"12","X_12932361","X",12932361,"A_12_P100078",9.69636842513723,3.77,1,0.241353879328447,-0.489730467095782,"X_12893347",12893347,"X_13024411",13024411,"X",12985788,12985847
"13","X_3843271","X",3843271,"A_12_P100079",3.95428070820193,3.77,1,0.105538780480738,-0.323844120783078,"X_3789476",3789476,"X_4167697",4167697,"X",5020552,5020611
"14","V_14789933","V",14789933,"A_12_P100094",13.614390984737,3.77,1,0.306255471788581,0.55166052672444,"V_14290503",14290503,"V_15132428",15132428,"V",14476115,14476174
"15","II_1732850","II",1732850,"A_12_P100109",44.456418401737,3.77,1,0.595500662281761,-0.769256378002548,"II_1727040",1727040,"II_1856961",1856961,"II",1779003,1779062
"16","IV_15399516","IV",15399516,"A_12_P100123",4.62989518005988,3.77,1,0.123702939025574,0.350606521787249,"IV_15393010",15393010,"IV_15480399",15480399,"IV",6076759,6076818
"17","IV_1697436","IV",1697436,"A_12_P100126",4.05707165597962,3.77,1,0.110860725380123,0.33190885512981,"IV_1500428",1500428,"IV_1782015",1782015,"IV",3112051,3112110
"18","II_12258784","II",12258784,"A_12_P100135",21.1436214952957,3.77,1,0.446624671478835,0.666194949906448,"II_12254319",12254319,"II_12370973",12370973,"II",12283848,12283907
"19","IV_6475869","IV",6475869,"A_12_P100138",10.4649439055837,3.77,1,0.254633794429062,-0.503013109307508,"IV_5531856",5531856,"IV_6766024",6766024,"II",1234182,1234241
"20","III_1362120","III",1362120,"A_12_P100152",4.3646349701938,3.77,1,0.118576764278413,-0.338569697663626,"III_1188573",1188573,"III_1460260",1460260,"IV",11326985,11327044
"21","II_2914161","II",2914161,"A_12_P100153",9.36572798864062,3.77,1,0.230539061485933,-0.480107965719705,"II_2901910",2901910,"II_3026490",3026490,"III",11606670,11606729
"22","I_6651082","I",6651082,"A_12_P100159",10.5242645164816,3.77,1,0.168946596507372,0.409736548646364,"I_4775095",4775095,"I_7273652",7273652,"I",5676177,5676236
"23","IV_13813174","IV",13813174,"A_12_P100162",4.42226858877688,3.77,1,0.116753556401325,0.340615996841695,"IV_13608743",13608743,"IV_14237700",14237700,"IV",13844654,13844806
"24","X_3843271","X",3843271,"A_12_P100182",5.42140700295297,3.77,1,0.141722275855195,-0.375274487258224,"X_3789476",3789476,"X_4322768",4322768,"IV",11249095,11249197
"25","I_1169919","I",1169919,"A_12_P100247",4.09293321929366,3.77,1,0.0491706902868845,0.221046241004996,"I_1041272",1041272,"I_1280348",1280348,"V",11142766,11142825
"26","V_17050088","V",17050088,"A_12_P100274",12.4296630869202,3.77,1,0.293608945396707,0.540150301541939,"V_16994282",16994282,"V_17218715",17218715,"III",7671768,7671917
"27","V_5269261","V",5269261,"A_12_P100286",4.61323886590238,3.77,1,0.133134109034972,-0.363597443994704,"V_5149493",5149493,"V_5614890",5614890,"V",6274769,6274828
"28","X_4758185","X",4758185,"A_12_P100293",17.3006709950705,3.77,1,0.38101607391243,0.615320848341373,"X_4674201",4674201,"X_4958735",4958735,"III",12914577,12914621
"29","IV_7328515","IV",7328515,"A_12_P100295",5.47800976649982,3.77,1,0.14248414170771,0.37628182925874,"IV_6945644",6945644,"IV_8696159",8696159,"X",3740604,3740663
"30","II_1990551","II",1990551,"A_12_P100298",40.3736063366374,3.77,1,0.480879340473214,-0.691123695404255,"II_1988126",1988126,"II_2075279",2075279,"II",1998244,1998303
"31","II_1718365","II",1718365,"A_12_P100302",5.71555000584174,3.77,1,0.132546849909961,0.362870267672282,"II_1041078",1041078,"II_1857345",1857345,"II",676946,677005
"32","IV_15471143","IV",15471143,"A_12_P100309",4.73457033653326,3.77,1,0.132755497971299,-0.363123259188096,"IV_15393010",15393010,"IV_16207052",16207052,"X",2410420,2410479
"33","V_18938530","V",18938530,"A_12_P100334",8.64414739241991,3.77,1,0.213227393242384,0.460283120457409,"V_18916789",18916789,"V_19132445",19132445,"V",18970937,18970996
"34","I_11868440","I",11868440,"A_12_P100354",12.9702900004511,3.77,1,0.243486951401207,0.491889811773923,"I_11833643",11833643,"I_11926653",11926653,"I",11694745,11694804
"35","X_4862702","X",4862702,"A_12_P100388",4.36054443732467,3.77,1,0.13032412065365,0.35971271047539,"X_4171941",4171941,"X_5676445",5676445,"V",627124,627183
"36","V_20445160","V",20445160,"A_12_P100396",44.1920168328958,3.77,1,0.686966021941762,-0.826223626461541,"V_20322261",20322261,"V_20484393",20484393,"V",20555802,20555861
"37","X_5526747","X",5526747,"A_12_P100405",5.02953159870965,3.77,1,0.148715452195753,0.384256683696957,"X_4674201",4674201,"X_5676445",5676445,"II",10488704,10488763
"38","II_14204646","II",14204646,"A_12_P100420",4.04630060508791,3.77,1,0.103234422532535,0.320289165341018,"II_14070545",14070545,"II_14243104",14243104,"I",9844623,9844682
"39","V_12403730","V",12403730,"A_12_P100422",6.60845219082655,3.77,1,0.170139127371787,0.412475651333456,"V_12257725",12257725,"V_12903236",12903236,"V",12842565,12842624
"40","X_11847730","X",11847730,"A_12_P100428",40.8605279746794,3.77,1,0.683874877601711,-0.824362649410186,"X_11827052",11827052,"X_11897385",11897385,"X",12014353,12014412
"41","II_643539","II",643539,"A_12_P100440",9.71058175541339,3.77,1,0.21328614968475,0.460365330302981,"II_6368",6368,"II_693206",693206,"II",477614,477766
