"","date","experiment","round","assay","condition","dose","control","plate","row","col","strain","trait","phenotype"
"1","20140310","dose",6,NA,"cisplatin","0","water",3,"A","1","N2","median.EXT",429.5
"2","20140310","dose",6,NA,"cisplatin","0","water",3,"A","1","N2","median.norm.EXT",1.96988224637681
"3","20140310","dose",6,NA,"cisplatin","0","water",3,"A","1","N2","median.TOF",184
"4","20140310","dose",6,NA,"cisplatin","0","water",3,"A","1","N2","norm.n",218
"5","20140310","dose",6,NA,"cisplatin","125","water",3,"A","2","N2","median.EXT",638
"6","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","2","N2","median.EXT",500
"7","20140310","dose",6,NA,"cisplatin","125","water",3,"A","2","N2","median.norm.EXT",2.47112462006079
"8","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","2","N2","median.norm.EXT",2.08676789587852
"9","20140310","dose",6,NA,"cisplatin","125","water",3,"A","2","N2","median.TOF",253
"10","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","2","N2","median.TOF",232
"11","20140310","dose",6,NA,"cisplatin","125","water",3,"A","2","N2","norm.n",153.666666666667
"12","20141028","dose",9,NA,"amsacrine","25","DMSO",3,"A","2","N2","norm.n",125.666666666667
"13","20140310","dose",6,NA,"cisplatin","250","water",3,"A","3","N2","median.EXT",612.5
"14","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","3","N2","median.EXT",375
"15","20140310","dose",6,NA,"cisplatin","250","water",3,"A","3","N2","median.norm.EXT",2.36442648029276
"16","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","3","N2","median.norm.EXT",1.86938775510204
"17","20140310","dose",6,NA,"cisplatin","250","water",3,"A","3","N2","median.TOF",234.5
"18","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","3","N2","median.TOF",207
"19","20140310","dose",6,NA,"cisplatin","250","water",3,"A","3","N2","norm.n",134
"20","20141028","dose",9,NA,"amsacrine","50","DMSO",3,"A","3","N2","norm.n",105
"21","20140310","dose",6,NA,"cisplatin","500","water",3,"A","4","N2","median.EXT",433
"22","20141028","dose",9,NA,"amsacrine","100","DMSO",3,"A","4","N2","median.EXT",475.5
"23","20140310","dose",6,NA,"cisplatin","500","water",3,"A","4","N2","median.norm.EXT",2.03260869565217
