"","date","experiment","round","assay","plate","row","col","strain","condition","drug","dose","control","trait","phenotype","selected"
"1","20191024","scbdose",1,"a",1,"A","1","N2","cisplatin","cisplatin_0",0,"kmedia","median.TOF",111.91875,TRUE
"2","20191024","scbdose",1,"a",1,"A","10","CB4856","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-37.0812500000001,FALSE
"3","20191024","scbdose",1,"a",1,"A","11","CB4856","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-141.081250000001,FALSE
"4","20191024","scbdose",1,"a",1,"A","2","N2","cisplatin","cisplatin_1",75,"kmedia","median.TOF",67.91875,FALSE
"5","20191024","scbdose",1,"a",1,"A","3","N2","cisplatin","cisplatin_2",125,"kmedia","median.TOF",-33.08125,TRUE
"6","20191024","scbdose",1,"a",1,"A","4","N2","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-62.08125,FALSE
"7","20191024","scbdose",1,"a",1,"A","5","N2","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-139.58125,FALSE
"8","20191024","scbdose",1,"a",1,"A","7","CB4856","cisplatin","cisplatin_0",0,"kmedia","median.TOF",70.91875,TRUE
"9","20191024","scbdose",1,"a",1,"A","8","CB4856","cisplatin","cisplatin_1",75,"kmedia","median.TOF",69.91875,FALSE
"10","20191024","scbdose",1,"a",1,"A","9","CB4856","cisplatin","cisplatin_2",125,"kmedia","median.TOF",32.91875,TRUE
"11","20191024","scbdose",1,"a",1,"B","1","ECA232","cisplatin","cisplatin_0",0,"kmedia","median.TOF",120.41875,TRUE
"12","20191024","scbdose",1,"a",1,"B","10","ECA1114","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-91.08125,FALSE
"13","20191024","scbdose",1,"a",1,"B","11","ECA1114","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-141.081250000001,FALSE
"14","20191024","scbdose",1,"a",1,"B","2","ECA232","cisplatin","cisplatin_1",75,"kmedia","median.TOF",79.91875,FALSE
"15","20191024","scbdose",1,"a",1,"B","3","ECA232","cisplatin","cisplatin_2",125,"kmedia","median.TOF",27.91875,TRUE
"16","20191024","scbdose",1,"a",1,"B","4","ECA232","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-51.08125,FALSE
"17","20191024","scbdose",1,"a",1,"B","5","ECA232","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-141.081250000001,FALSE
"18","20191024","scbdose",1,"a",1,"B","7","ECA1114","cisplatin","cisplatin_0",0,"kmedia","median.TOF",75.91875,TRUE
"19","20191024","scbdose",1,"a",1,"B","8","ECA1114","cisplatin","cisplatin_1",75,"kmedia","median.TOF",57.41875,FALSE
"20","20191024","scbdose",1,"a",1,"B","9","ECA1114","cisplatin","cisplatin_2",125,"kmedia","median.TOF",7.91875000000002,TRUE
"21","20191024","scbdose",1,"a",1,"C","1","ECA232","cisplatin","cisplatin_0",0,"kmedia","median.TOF",86.91875,TRUE
"22","20191024","scbdose",1,"a",1,"C","10","N2","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-54.08125,FALSE
"23","20191024","scbdose",1,"a",1,"C","11","N2","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-145.58125,FALSE
"24","20191024","scbdose",1,"a",1,"C","2","ECA232","cisplatin","cisplatin_1",75,"kmedia","median.TOF",81.41875,FALSE
"25","20191024","scbdose",1,"a",1,"C","3","ECA232","cisplatin","cisplatin_2",125,"kmedia","median.TOF",12.41875,TRUE
"26","20191024","scbdose",1,"a",1,"C","4","ECA232","cisplatin","cisplatin_3",250,"kmedia","median.TOF",-57.58125,FALSE
"27","20191024","scbdose",1,"a",1,"C","5","ECA232","cisplatin","cisplatin_4",500,"kmedia","median.TOF",-146.08125,FALSE
